Viewer_ID,Movie_ID,Title,Genre,Watch_Duration_Min,Pause_Count,Completion_Pct,Retained_Flag
USR104,MOV007,Monsoon Stories,Drama,33.7,3,81.3,0
USR021,MOV008,Code Red,Thriller,34.6,2,63.3,1
USR015,MOV001,The Last Signal,Thriller,45.6,2,37.6,0
USR089,MOV003,Galaxy Run,Sci-Fi,30.9,4,74.6,1
USR008,MOV002,City Lights,Drama,39.9,1,71.4,1
USR054,MOV003,Galaxy Run,Sci-Fi,65.7,3,67.9,1
USR082,MOV002,City Lights,Drama,45.3,1,87.9,0
USR045,MOV005,Laugh Track,Comedy,18.3,2,80.3,1
USR033,MOV001,The Last Signal,Thriller,41.3,2,67.0,1
USR062,MOV005,Laugh Track,Comedy,28.4,3,75.8,1
USR142,MOV008,Code Red,Thriller,56.3,2,100.0,1
USR132,MOV007,Monsoon Stories,Drama,53.8,3,69.3,0
USR066,MOV005,Laugh Track,Comedy,34.0,2,45.1,0
USR092,MOV010,The Long Game,Sports,34.5,4,81.0,1
USR051,MOV009,Wild Trails,Adventure,31.5,2,66.1,0
USR052,MOV010,The Long Game,Sports,47.2,3,80.2,1
USR054,MOV007,Monsoon Stories,Drama,13.2,1,71.5,1
USR068,MOV007,Monsoon Stories,Drama,78.9,1,80.6,1
USR093,MOV007,Monsoon Stories,Drama,30.4,4,85.9,0
USR147,MOV003,Galaxy Run,Sci-Fi,33.5,0,100.0,1
USR042,MOV004,Hidden Truth,Mystery,26.1,3,80.5,0
USR009,MOV003,Galaxy Run,Sci-Fi,37.2,5,60.7,0
USR093,MOV009,Wild Trails,Adventure,61.5,4,56.4,1
USR033,MOV002,City Lights,Drama,31.3,3,75.1,0
USR038,MOV005,Laugh Track,Comedy,35.1,4,52.0,0
USR061,MOV006,Final Horizon,Action,52.8,4,87.8,1
USR046,MOV003,Galaxy Run,Sci-Fi,64.2,0,79.1,1
USR067,MOV005,Laugh Track,Comedy,44.9,5,77.9,1
USR130,MOV002,City Lights,Drama,52.7,2,73.7,1
USR026,MOV010,The Long Game,Sports,24.9,2,87.7,1
USR115,MOV003,Galaxy Run,Sci-Fi,51.9,0,46.2,0
USR125,MOV007,Monsoon Stories,Drama,40.1,3,73.2,1
USR101,MOV006,Final Horizon,Action,35.8,0,73.4,1
USR094,MOV001,The Last Signal,Thriller,58.3,3,62.3,1
USR117,MOV003,Galaxy Run,Sci-Fi,62.5,4,86.9,1
USR122,MOV007,Monsoon Stories,Drama,40.3,0,100.0,1
USR069,MOV001,The Last Signal,Thriller,18.8,1,65.8,1
USR069,MOV006,Final Horizon,Action,50.7,1,50.7,1
USR069,MOV001,The Last Signal,Thriller,52.5,3,82.8,1
USR101,MOV004,Hidden Truth,Mystery,53.3,6,82.2,1
USR035,MOV003,Galaxy Run,Sci-Fi,49.5,1,91.1,1
USR115,MOV007,Monsoon Stories,Drama,23.0,1,68.3,0
USR138,MOV009,Wild Trails,Adventure,71.3,2,71.3,1
USR037,MOV005,Laugh Track,Comedy,40.8,4,85.5,1
USR141,MOV001,The Last Signal,Thriller,59.2,2,87.4,0
USR025,MOV003,Galaxy Run,Sci-Fi,40.9,4,77.8,1
USR122,MOV004,Hidden Truth,Mystery,59.4,2,86.2,1
USR137,MOV005,Laugh Track,Comedy,41.9,7,77.8,1
USR019,MOV002,City Lights,Drama,18.3,5,73.4,1
USR126,MOV006,Final Horizon,Action,27.7,2,53.7,1
USR117,MOV010,The Long Game,Sports,54.8,4,85.8,0
USR147,MOV006,Final Horizon,Action,41.3,0,37.9,1
USR117,MOV004,Hidden Truth,Mystery,31.5,6,54.6,0
USR101,MOV008,Code Red,Thriller,38.5,2,80.3,0
USR141,MOV009,Wild Trails,Adventure,37.1,0,42.1,0
USR119,MOV003,Galaxy Run,Sci-Fi,18.0,3,85.4,1
USR099,MOV008,Code Red,Thriller,59.7,3,63.6,1
USR110,MOV001,The Last Signal,Thriller,60.6,6,78.2,1
USR118,MOV001,The Last Signal,Thriller,43.8,3,81.3,1
USR047,MOV003,Galaxy Run,Sci-Fi,30.8,4,93.2,1
USR091,MOV007,Monsoon Stories,Drama,51.7,2,96.6,0
USR132,MOV003,Galaxy Run,Sci-Fi,63.7,5,67.2,1
USR115,MOV010,The Long Game,Sports,41.8,3,86.3,1
USR132,MOV009,Wild Trails,Adventure,20.4,2,100.0,0
USR061,MOV008,Code Red,Thriller,57.0,3,67.8,1
USR047,MOV006,Final Horizon,Action,57.7,3,46.2,0
USR047,MOV009,Wild Trails,Adventure,43.8,1,100.0,1
USR056,MOV008,Code Red,Thriller,30.4,3,100.0,1
USR015,MOV003,Galaxy Run,Sci-Fi,50.6,2,77.6,1
USR126,MOV009,Wild Trails,Adventure,5.1,2,58.1,1
USR008,MOV009,Wild Trails,Adventure,45.3,3,88.4,1
USR059,MOV008,Code Red,Thriller,57.2,2,53.3,1
USR075,MOV006,Final Horizon,Action,21.0,1,82.1,0
USR075,MOV008,Code Red,Thriller,34.7,2,27.0,1
USR140,MOV004,Hidden Truth,Mystery,68.9,5,70.7,1
USR003,MOV001,The Last Signal,Thriller,29.8,2,44.6,1
USR063,MOV001,The Last Signal,Thriller,30.8,2,33.5,0
USR078,MOV005,Laugh Track,Comedy,45.9,2,100.0,1
USR064,MOV005,Laugh Track,Comedy,44.5,1,73.6,1
USR078,MOV008,Code Red,Thriller,65.7,3,81.6,1
USR145,MOV010,The Long Game,Sports,37.9,5,82.9,0
USR104,MOV001,The Last Signal,Thriller,64.7,0,84.4,0
USR038,MOV003,Galaxy Run,Sci-Fi,7.7,3,97.8,1
USR086,MOV009,Wild Trails,Adventure,57.8,1,52.4,0
USR005,MOV002,City Lights,Drama,49.2,2,78.0,1
USR069,MOV004,Hidden Truth,Mystery,35.3,3,89.3,1
USR111,MOV004,Hidden Truth,Mystery,15.3,2,98.9,1
USR122,MOV008,Code Red,Thriller,81.7,3,100.0,1
USR143,MOV009,Wild Trails,Adventure,65.9,3,62.8,1
USR025,MOV005,Laugh Track,Comedy,58.4,3,97.1,1
USR025,MOV010,The Long Game,Sports,38.6,3,83.3,0
